カスタムリーダー,名前,ユーザ名,バトルタグ,参加形態,duoの場合の相方,,第一希望ロール,第二希望ロール,第三希望ロール,タンクのレート,ダメージのレート,サポートのレート,CS,インフルエンサー,配信NG,Aブロック,Bブロック,Cブロック,Dブロック
TRUE,こじロー,kojiro4329,Kojiro#11287,ソロ,,FALSE,ダメージ,タンク,サポート,3000,2600,1900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,逆殳しゃち,syatihoko0817,ぱっくまん#1334,ソロ,,FALSE,ダメージ,サポート,タンク,1000,2500,3200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,雪メ(せらてる),yuk1me_,雪メ#3961,ソロ,,FALSE,タンク,ダメージ,サポート,3100,1200,3900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,koroma,koroma,koroma#11370,ソロ,,FALSE,サポート,-,-,,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,かぼちゃpumpkin,kabotyapumpkin,pumpkin#12242,ソロ,,FALSE,サポート,ダメージ,-,,1800,4200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,おそら,.osora,いぬと和解せよ #1405,デュオ,ななせ,FALSE,タンク,ダメージ,-,2500,2700,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,,,MOA#11842,ソロ,,FALSE,ダメージ,サポート,タンク,1800,4200,1300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,喜枝コビト,kizishikobito,喜枝コビトＶＴ#3198,デュオ,橙華まり,FALSE,ダメージ,タンク,-,4400,1500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,大河,taiga_stg,大河#11198,ソロ,,FALSE,ダメージ,サポート,タンク,3100,3600,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,アゼスト,azesuto,AZESUTO085#3879,ソロ,,FALSE,ダメージ,タンク,-,3800,2600,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,きんぐあれくさ,kingalexa,kingalexattv#1911,ソロ,,FALSE,タンク,-,-,2900,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,伊達巻きいすけ,datemakiysuke,kiy#31145,ソロ,,FALSE,タンク,サポート,ダメージ,3700,,2800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,uiro,uiro.,uoro#3241,デュオ,しー,FALSE,ダメージ,サポート,-,,1100,2500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,かいと,かいと#9216,KAICHANN#3442,ソロ,,FALSE,タンク,-,-,2600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,,,Recru1t#11631,ソロ,,FALSE,サポート,タンク,-,3600,,4200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,ひば,t4ke4,t4kec#1414,ソロ,,FALSE,タンク,-,-,2400,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,ゆたのーる,yttriumy,YttriumY#1377,ソロ,,FALSE,タンク,サポート,-,3800,,2900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,絆創膏。,絆創膏。#3611,絆創膏#3363,デュオ,あき,FALSE,タンク,-,-,4300,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,たけもき,panmotu,ハモンドゥ#3943,ソロ,,FALSE,ダメージ,-,-,,1200,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,芳乃　わがし,yoshinowagashi,芳乃わがし#3293,ソロ,,FALSE,ダメージ,-,-,,3400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,licht,licht2334,tragidia#31593,ソロ,,FALSE,ダメージ,-,-,,3100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,あかさた,akasata777,あかさた＃3523,ソロ,,FALSE,サポート,ダメージ,-,,1100,3300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,あず,azucrptwo29,AZUcrptwo28#3808,ソロ,,FALSE,ダメージ,サポート,-,,1600,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,まんだらけ。,mandarake555,曼荼羅家#3378,ソロ,,FALSE,ダメージ,-,-,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,かめのまる,totorogohan,totorogohan#1551,デュオ,夜待ニアル,FALSE,サポート,-,-,,,2800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,あさりボンゴレ,あさりボンゴレ#9203,あさりボンゴレ#3513,デュオ,碧海まっちゃ,FALSE,ダメージ,-,-,,2500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,Kisaragi,ki_saragi,如月サラギー#3923,ソロ,,FALSE,ダメージ,サポート,タンク,2900,2300,3800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,AFY/ほねち,_hnty,Afy#11158,デュオ,ななゆきここ,FALSE,タンク,サポート,ダメージ,2400,,3600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,おとうと,0touto,otouto#11826,デュオ,なるせ,FALSE,サポート,-,-,,,1200,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,PSK,psk_esk,psk#11703,デュオ,,FALSE,サポート,-,-,,,1800,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,えびまよ,えびまよ#8784,闇落ちのえびまよ#1237,デュオ,oilsong,FALSE,ダメージ,タンク,サポート,2300,3400,1300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,,,reinhardt#12389,ソロ,,FALSE,ダメージ,-,-,,4300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,𝓂ℯ𝓃𝒽ℯ𝓇𝒶,𝓂ℯ𝓃𝒽ℯ𝓇𝒶#0267,メンヘラ#11370,デュオ,かろなーる,FALSE,サポート,タンク,ダメージ,1800,,3500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,成瀬,nalse55,Nalse#31766,デュオ,おとうと,FALSE,タンク,ダメージ,サポート,1100,3300,2400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,くみあいちょー,くみあいちょー#4503,くみあいちょー#3939,デュオ,こころさん,FALSE,サポート,タンク,-,4100,,1700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,I-Tak0,itak0,ITAK0#3298,ソロ,,FALSE,ダメージ,サポート,タンク,3700,3700,3400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
